Episode 1015: Total Reward = 495.0, Position = 40, Completed: False
Episode 1016: Total Reward = 475.0, Position = 40, Completed: False
Episode 1017: Total Reward = 481.0, Position = 40, Completed: False
Episode 1018: Total Reward = 489.0, Position = 40, Completed: False
Episode 1019: Total Reward = 495.0, Position = 40, Completed: False
Episode 1020: Total Reward = 498.0, Position = 40, Completed: False
Episode 1021: Total Reward = 935.0, Position = 40, Completed: False
Episode 1022: Total Reward = 482.0, Position = 40, Completed: False
Episode 1023: Total Reward = 465.0, Position = 40, Completed: False
Episode 1024: Total Reward = 474.0, Position = 40, Completed: False
Episode 1025: Total Reward = 814.0, Position = 40, Completed: False
Episode 1026: Total Reward = 484.0, Position = 40, Completed: False
Episode 1027: Total Reward = 487.0, Position = 40, Completed: False
Episode 1028: Total Reward = 1218.0, Position = 40, Completed: False
Episode 1029: Total Reward = 1255.0, Position = 40, Completed: False
Episode 1030: Total Reward = 458.0, Position = 40, Completed: False
Episode 1031: Total Reward = 454.0, Position = 40, Completed: False
Episode 1032: Total Reward = 482.0, Position = 40, Completed: False
Episode 1033: Total Reward = 478.0, Position = 40, Completed: False
Episode 1034: Total Reward = 478.0, Position = 40, Completed: False
Episode 1035: Total Reward = 1278.0, Position = 40, Completed: False
Episode 1036: Total Reward = 454.0, Position = 40, Completed: False
Episode 1037: Total Reward = 849.0, Position = 40, Completed: False
Episode 1038: Total Reward = 949.0, Position = 40, Completed: False
Episode 1039: Total Reward = 474.0, Position = 40, Completed: False
Episode 1040: Total Reward = 455.0, Position = 40, Completed: False
Episode 1041: Total Reward = 483.0, Position = 40, Completed: False
Episode 1042: Total Reward = 459.0, Position = 40, Completed: False
Episode 1043: Total Reward = 1021.0, Position = 40, Completed: False
Episode 1044: Total Reward = 880.0, Position = 40, Completed: False
Episode 1045: Total Reward = 1371.0, Position = 40, Completed: False
Episode 1046: Total Reward = 472.0, Position = 40, Completed: False
Episode 1047: Total Reward = 809.0, Position = 40, Completed: False
Episode 1048: Total Reward = 475.0, Position = 40, Completed: False
Episode 1049: Total Reward = 463.0, Position = 40, Completed: False
Episode 1050: Total Reward = 975.0, Position = 40, Completed: False
Episode 1051: Total Reward = 478.0, Position = 40, Completed: False
Episode 1052: Total Reward = 458.0, Position = 40, Completed: False
Episode 1053: Total Reward = 1256.0, Position = 40, Completed: False
Episode 1054: Total Reward = 856.0, Position = 40, Completed: False
Episode 1055: Total Reward = 497.0, Position = 40, Completed: False
Episode 1056: Total Reward = 854.0, Position = 40, Completed: False
Episode 1057: Total Reward = 497.0, Position = 40, Completed: False
Episode 1058: Total Reward = 482.0, Position = 40, Completed: False
Episode 1059: Total Reward = 1053.0, Position = 40, Completed: False
Episode 1060: Total Reward = 431.0, Position = 40, Completed: False
Episode 1061: Total Reward = 480.0, Position = 40, Completed: False
Episode 1062: Total Reward = 440.0, Position = 40, Completed: False
Episode 1063: Total Reward = 446.0, Position = 40, Completed: False
Episode 1064: Total Reward = 1262.0, Position = 40, Completed: False
Episode 1065: Total Reward = 850.0, Position = 40, Completed: False
Episode 1066: Total Reward = 480.0, Position = 40, Completed: False
Episode 1067: Total Reward = 460.0, Position = 40, Completed: False
Episode 1068: Total Reward = 467.0, Position = 40, Completed: False
Episode 1069: Total Reward = 1240.0, Position = 40, Completed: False
Episode 1070: Total Reward = 471.0, Position = 40, Completed: False
Episode 1071: Total Reward = 1266.0, Position = 40, Completed: False
Episode 1072: Total Reward = 485.0, Position = 40, Completed: False
Episode 1073: Total Reward = 486.0, Position = 40, Completed: False
Episode 1074: Total Reward = 448.0, Position = 40, Completed: False
Episode 1075: Total Reward = 463.0, Position = 40, Completed: False
Episode 1076: Total Reward = 978.0, Position = 40, Completed: False
Episode 1077: Total Reward = 1344.0, Position = 40, Completed: False
Episode 1078: Total Reward = 472.0, Position = 40, Completed: False
Episode 1079: Total Reward = 434.0, Position = 40, Completed: False
Episode 1080: Total Reward = 471.0, Position = 40, Completed: False
Episode 1081: Total Reward = 463.0, Position = 40, Completed: False
Episode 1082: Total Reward = 835.0, Position = 40, Completed: False
Episode 1083: Total Reward = 860.0, Position = 40, Completed: False
Episode 1084: Total Reward = 499.0, Position = 40, Completed: False
Episode 1085: Total Reward = 464.0, Position = 40, Completed: False
Episode 1086: Total Reward = 480.0, Position = 40, Completed: False
Episode 1087: Total Reward = 801.0, Position = 40, Completed: False
Episode 1088: Total Reward = 479.0, Position = 40, Completed: False
Episode 1089: Total Reward = 465.0, Position = 40, Completed: False
Episode 1090: Total Reward = 481.0, Position = 40, Completed: False
Episode 1091: Total Reward = 870.0, Position = 40, Completed: False
Episode 1092: Total Reward = 982.0, Position = 40, Completed: False
Episode 1093: Total Reward = 985.0, Position = 40, Completed: False
Episode 1094: Total Reward = 469.0, Position = 40, Completed: False
Episode 1095: Total Reward = 1001.0, Position = 40, Completed: False
Episode 1096: Total Reward = 469.0, Position = 40, Completed: False
Episode 1097: Total Reward = 467.0, Position = 40, Completed: False
Episode 1098: Total Reward = 476.0, Position = 40, Completed: False
Episode 1099: Total Reward = 879.0, Position = 40, Completed: False
Episode 1100: Total Reward = 483.0, Position = 40, Completed: False
Episode 1101: Total Reward = 479.0, Position = 40, Completed: False
Episode 1102: Total Reward = 447.0, Position = 40, Completed: False
Episode 1103: Total Reward = 1182.0, Position = 40, Completed: False
Episode 1104: Total Reward = 865.0, Position = 40, Completed: False
Episode 1105: Total Reward = 964.0, Position = 40, Completed: False
Episode 1106: Total Reward = 803.0, Position = 40, Completed: False
Episode 1107: Total Reward = 471.0, Position = 40, Completed: False
Episode 1108: Total Reward = 499.0, Position = 40, Completed: False
Episode 1109: Total Reward = 482.0, Position = 40, Completed: False
Episode 1110: Total Reward = 471.0, Position = 40, Completed: False
Episode 1111: Total Reward = 477.0, Position = 40, Completed: False
Episode 1112: Total Reward = 994.0, Position = 40, Completed: False
Episode 1113: Total Reward = 483.0, Position = 40, Completed: False
Episode 1114: Total Reward = 1200.0, Position = 40, Completed: False
